"Datum";"+A/84121509 [kW]";"Status";
"01.01.2025 00:15:00";2,182;"namìøená data OK";
"01.01.2025 00:30:00";1,755;"namìøená data OK";
"01.01.2025 00:45:00";0,852;"namìøená data OK";
"01.01.2025 01:00:00";0,614;"namìøená data OK";
"01.01.2025 01:15:00";0,67;"namìøená data OK";
"01.01.2025 01:30:00";0,716;"namìøená data OK";
"01.01.2025 01:45:00";0,132;"namìøená data OK";
"01.01.2025 02:00:00";0,149;"namìøená data OK";
"01.01.2025 02:15:00";0,349;"namìøená data OK";
"01.01.2025 02:30:00";0,423;"namìøená data OK";
"01.01.2025 02:45:00";1,203;"namìøená data OK";
"01.01.2025 03:00:00";3,265;"namìøená data OK";
"01.01.2025 03:15:00";2,947;"namìøená data OK";
"01.01.2025 03:30:00";1,938;"namìøená data OK";
"01.01.2025 03:45:00";1,91;"namìøená data OK";
"01.01.2025 04:00:00";2,125;"namìøená data OK";
"01.01.2025 04:15:00";1,62;"namìøená data OK";
"01.01.2025 04:30:00";1,3;"namìøená data OK";
"01.01.2025 04:45:00";0,998;"namìøená data OK";
"01.01.2025 05:00:00";0,375;"namìøená data OK";
"01.01.2025 05:15:00";0,525;"namìøená data OK";
"01.01.2025 05:30:00";1,249;"namìøená data OK";
"01.01.2025 05:45:00";0,878;"namìøená data OK";
"01.01.2025 06:00:00";1,214;"namìøená data OK";
"01.01.2025 06:15:00";0,908;"namìøená data OK";
"01.01.2025 06:30:00";0,995;"namìøená data OK";
"01.01.2025 06:45:00";1,511;"namìøená data OK";
"01.01.2025 07:00:00";2,907;"namìøená data OK";
"01.01.2025 07:15:00";3,692;"namìøená data OK";
"01.01.2025 07:30:00";3,932;"namìøená data OK";
"01.01.2025 07:45:00";2,905;"namìøená data OK";
"01.01.2025 08:00:00";2,42;"namìøená data OK";
"01.01.2025 08:15:00";2,014;"namìøená data OK";
"01.01.2025 08:30:00";2,069;"namìøená data OK";
"01.01.2025 08:45:00";1,914;"namìøená data OK";
"01.01.2025 09:00:00";2,175;"namìøená data OK";
"01.01.2025 09:15:00";1,817;"namìøená data OK";
"01.01.2025 09:30:00";1,62;"namìøená data OK";
"01.01.2025 09:45:00";1,583;"namìøená data OK";
"01.01.2025 10:00:00";1,389;"namìøená data OK";
"01.01.2025 10:15:00";1,089;"namìøená data OK";
"01.01.2025 10:30:00";0,079;"namìøená data OK";
"01.01.2025 10:45:00";0,136;"namìøená data OK";
"01.01.2025 11:00:00";0,542;"namìøená data OK";
"01.01.2025 11:15:00";0,725;"namìøená data OK";
"01.01.2025 11:30:00";0,707;"namìøená data OK";
"01.01.2025 11:45:00";0,339;"namìøená data OK";
"01.01.2025 12:00:00";1,45;"namìøená data OK";
"01.01.2025 12:15:00";1,459;"namìøená data OK";
"01.01.2025 12:30:00";1,329;"namìøená data OK";
"01.01.2025 12:45:00";1,314;"namìøená data OK";
"01.01.2025 13:00:00";1,075;"namìøená data OK";
"01.01.2025 13:15:00";1,64;"namìøená data OK";
"01.01.2025 13:30:00";1,238;"namìøená data OK";
"01.01.2025 13:45:00";0,382;"namìøená data OK";
"01.01.2025 14:00:00";0,022;"namìøená data OK";
"01.01.2025 14:15:00";0,03;"namìøená data OK";
"01.01.2025 14:30:00";0,335;"namìøená data OK";
"01.01.2025 14:45:00";0,097;"namìøená data OK";
"01.01.2025 15:00:00";0,03;"namìøená data OK";
"01.01.2025 15:15:00";0,021;"namìøená data OK";
"01.01.2025 15:30:00";0,59;"namìøená data OK";
"01.01.2025 15:45:00";1,906;"namìøená data OK";
"01.01.2025 16:00:00";2,332;"namìøená data OK";
"01.01.2025 16:15:00";3,012;"namìøená data OK";
"01.01.2025 16:30:00";2,641;"namìøená data OK";
"01.01.2025 16:45:00";2,491;"namìøená data OK";
"01.01.2025 17:00:00";2,783;"namìøená data OK";
