"Datum";"+A/84121509 [kW]";"Status";
01.01.2023 00:15;0.132;namìøená data OK;
01.01.2023 00:30;0.109;namìøená data OK;
01.01.2023 00:45;0.129;namìøená data OK;
01.01.2023 01:00;0.112;namìøená data OK;
01.01.2023 01:15;0.124;namìøená data OK;
01.01.2023 01:30;0.115;namìøená data OK;
01.01.2023 01:45;0.121;namìøená data OK;
01.01.2023 02:00;0.122;namìøená data OK;
01.01.2023 02:15;0.116;namìøená data OK;
01.01.2023 02:30;0.112;namìøená data OK;
01.01.2023 02:45;0.12;namìøená data OK;
01.01.2023 03:00;0.123;namìøená data OK;
01.01.2023 03:15;0.116;namìøená data OK;
01.01.2023 03:30;0.127;namìøená data OK;
01.01.2023 03:45;0.112;namìøená data OK;
01.01.2023 04:00;0.117;namìøená data OK;
01.01.2023 04:15;0.113;namìøená data OK;
01.01.2023 04:30;0.128;namìøená data OK;
01.01.2023 04:45;0.11;namìøená data OK;
01.01.2023 05:00;0.133;namìøená data OK;
01.01.2023 05:15;0.107;namìøená data OK;
01.01.2023 05:30;0.122;namìøená data OK;
01.01.2023 05:45;0.108;namìøená data OK;
01.01.2023 06:00;0.137;namìøená data OK;
01.01.2023 06:15;0.108;namìøená data OK;
01.01.2023 06:30;0.142;namìøená data OK;
01.01.2023 06:45;0.103;namìøená data OK;
01.01.2023 07:00;0.166;namìøená data OK;
01.01.2023 07:15;0.135;namìøená data OK;
01.01.2023 07:30;0.179;namìøená data OK;
01.01.2023 07:45;0.14;namìøená data OK;
01.01.2023 08:00;0.223;namìøená data OK;
01.01.2023 08:15;3.612;namìøená data OK;
01.01.2023 08:30;3.459;namìøená data OK;
01.01.2023 08:45;0.054;namìøená data OK;
01.01.2023 09:00;0;namìøená data OK;
01.01.2023 09:15;0;namìøená data OK;
01.01.2023 09:30;0;namìøená data OK;
01.01.2023 09:45;0;namìøená data OK;
01.01.2023 10:00;0;namìøená data OK;
01.01.2023 10:15;0;namìøená data OK;
01.01.2023 10:30;0;namìøená data OK;
01.01.2023 10:45;0;namìøená data OK;
01.01.2023 11:00;0;namìøená data OK;
01.01.2023 11:15;0;namìøená data OK;
01.01.2023 11:30;0;namìøená data OK;
01.01.2023 11:45;0;namìøená data OK;
01.01.2023 12:00;0;namìøená data OK;
01.01.2023 12:15;0;namìøená data OK;
01.01.2023 12:30;0;namìøená data OK;
01.01.2023 12:45;0;namìøená data OK;
01.01.2023 13:00;0;namìøená data OK;
01.01.2023 13:15;0;namìøená data OK;
01.01.2023 13:30;0.022;namìøená data OK;
01.01.2023 13:45;0;namìøená data OK;
01.01.2023 14:00;0;namìøená data OK;
01.01.2023 14:15;0;namìøená data OK;
01.01.2023 14:30;0;namìøená data OK;
