"Datum";"-A/84121509 [kW]";"Status";
01.01.2023 00:15;0;namìøená data OK;
01.01.2023 00:30;0;namìøená data OK;
01.01.2023 00:45;0;namìøená data OK;
01.01.2023 01:00;0;namìøená data OK;
01.01.2023 01:15;0;namìøená data OK;
01.01.2023 01:30;0;namìøená data OK;
01.01.2023 01:45;0;namìøená data OK;
01.01.2023 02:00;0;namìøená data OK;
01.01.2023 02:15;0;namìøená data OK;
01.01.2023 02:30;0;namìøená data OK;
01.01.2023 02:45;0;namìøená data OK;
01.01.2023 03:00;0;namìøená data OK;
01.01.2023 03:15;0;namìøená data OK;
01.01.2023 03:30;0;namìøená data OK;
01.01.2023 03:45;0;namìøená data OK;
01.01.2023 04:00;0;namìøená data OK;
01.01.2023 04:15;0;namìøená data OK;
01.01.2023 04:30;0;namìøená data OK;
01.01.2023 04:45;0;namìøená data OK;
01.01.2023 05:00;0;namìøená data OK;
01.01.2023 05:15;0;namìøená data OK;
01.01.2023 05:30;0;namìøená data OK;
01.01.2023 05:45;0;namìøená data OK;
01.01.2023 06:00;0;namìøená data OK;
01.01.2023 06:15;0;namìøená data OK;
01.01.2023 06:30;0;namìøená data OK;
01.01.2023 06:45;0;namìøená data OK;
01.01.2023 07:00;0;namìøená data OK;
01.01.2023 07:15;0;namìøená data OK;
01.01.2023 07:30;0;namìøená data OK;
01.01.2023 07:45;0;namìøená data OK;
01.01.2023 08:00;0;namìøená data OK;
01.01.2023 08:15;0;namìøená data OK;
01.01.2023 08:30;0;namìøená data OK;
01.01.2023 08:45;0.312;namìøená data OK;
01.01.2023 09:00;1.022;namìøená data OK;
01.01.2023 09:15;1.124;namìøená data OK;
01.01.2023 09:30;1.274;namìøená data OK;
01.01.2023 09:45;1.287;namìøená data OK;
01.01.2023 10:00;1.365;namìøená data OK;
01.01.2023 10:15;1.31;namìøená data OK;
01.01.2023 10:30;1.222;namìøená data OK;
01.01.2023 10:45;1.107;namìøená data OK;
01.01.2023 11:00;0.998;namìøená data OK;
01.01.2023 11:15;0.957;namìøená data OK;
01.01.2023 11:30;0.906;namìøená data OK;
01.01.2023 11:45;0.729;namìøená data OK;
01.01.2023 12:00;0.73;namìøená data OK;
01.01.2023 12:15;0.728;namìøená data OK;
01.01.2023 12:30;0.704;namìøená data OK;
01.01.2023 12:45;0.699;namìøená data OK;
01.01.2023 13:00;0.525;namìøená data OK;
01.01.2023 13:15;0.571;namìøená data OK;
01.01.2023 13:30;0.699;namìøená data OK;
01.01.2023 13:45;0.704;namìøená data OK;
01.01.2023 14:00;0.494;namìøená data OK;
01.01.2023 14:15;0.373;namìøená data OK;
01.01.2023 14:30;0.435;namìøená data OK;
01.01.2023 14:45;0.402;namìøená data OK;
01.01.2023 15:00;0.226;namìøená data OK;
01.01.2023 15:15;0.095;namìøená data OK;
01.01.2023 15:30;0.005;namìøená data OK;
01.01.2023 15:45;0;namìøená data OK;
01.01.2023 16:00;0;namìøená data OK;
01.01.2023 16:15;0;namìøená data OK;
01.01.2023 16:30;0;namìøená data OK;
01.01.2023 16:45;0;namìøená data OK;
01.01.2023 17:00;0;namìøená data OK;
01.01.2023 17:15;0;namìøená data OK;
01.01.2023 17:30;0;namìøená data OK;
01.01.2023 17:45;0;namìøená data OK;
01.01.2023 18:00;0;namìøená data OK;
01.01.2023 18:15;0;namìøená data OK;
01.01.2023 18:30;0;namìøená data OK;
01.01.2023 18:45;0;namìøená data OK;
01.01.2023 19:00;0;namìøená data OK;
01.01.2023 19:15;0;namìøená data OK;
01.01.2023 19:30;0;namìøená data OK;
01.01.2023 19:45;0;namìøená data OK;
01.01.2023 20:00;0;namìøená data OK;
01.01.2023 20:15;0;namìøená data OK;
01.01.2023 20:30;0;namìøená data OK;
01.01.2023 20:45;0;namìøená data OK;
01.01.2023 21:00;0;namìøená data OK;
01.01.2023 21:15;0;namìøená data OK;
01.01.2023 21:30;0;namìøená data OK;
01.01.2023 21:45;0;namìøená data OK;
01.01.2023 22:00;0;namìøená data OK;
01.01.2023 22:15;0;namìøená data OK;
01.01.2023 22:30;0;namìøená data OK;
01.01.2023 22:45;0;namìøená data OK;
01.01.2023 23:00;0;namìøená data OK;
01.01.2023 23:15;0;namìøená data OK;
01.01.2023 23:30;0;namìøená data OK;
01.01.2023 23:45;0;namìøená data OK;
02.01.2023 00:00;0;namìøená data OK;
02.01.2023 00:15;0;namìøená data OK;
02.01.2023 00:30;0;namìøená data OK;
02.01.2023 00:45;0;namìøená data OK;
02.01.2023 01:00;0;namìøená data OK;
02.01.2023 01:15;0;namìøená data OK;
02.01.2023 01:30;0;namìøená data OK;
